"FIPS","State","County","X","Y","2012","2013","2014","2015","2016"
1001,"Alabama","Autauga County",872679.179,1094432.99,"31","54.4","54.7","56","56.5"
1003,"Alabama","Baldwin County",789777.5039,884557.0795,"27.3","62.1","61.8","62.5","62.3"
1005,"Alabama","Barbour County",997210.9974,1033023.763,"31.7","42.1","41.4","42.3","43.4"
1007,"Alabama","Bibb County",822862.4715,1141553.577,"33.8","42.4","44.2","50","48.9"
1009,"Alabama","Blount County",863725.1736,1255735.164,"31.2","43.3","46.3","49.2","49.1"
1011,"Alabama","Bullock County",964066.8275,1055199.419,"30.7","39","36","35.7","34.5"
1013,"Alabama","Butler County",877731.5725,1007285.71,"42.1","47.3","46.2","44.4","43.7"
1015,"Alabama","Calhoun County",933856.5711,1239468.533,"39.6","49.2","50.8","51.3","53.7"
1017,"Alabama","Chambers County",984214.6861,1148648.711,"38.9","46.5","47.1","47.7","47.7"
1019,"Alabama","Cherokee County",949215.6474,1286592.363,"80.2","45.9","53.5","53.5","54.4"
1021,"Alabama","Chilton County",862209.9831,1128435.63,"33.1","43.7","43.3","38.9","39.4"
1023,"Alabama","Choctaw County",726606.4744,1023615.755,"22.8","41.4","43.5","48.8","49.1"
1025,"Alabama","Clarke County",770408.8693,988910.4968,"39.1","51.1","45.8","43","42.1"
1027,"Alabama","Clay County",936619.6404,1183406.326,"57.7","41.4","40.9","46.8","42.8"
1029,"Alabama","Cleburne County",963188.5886,1231820.526,"39.6","43","47.1","48.6","49.5"
1031,"Alabama","Coffee County",946787.0873,975094.3328,"38.9","58.7","59.4","60.1","59.5"
1033,"Alabama","Colbert County",743789.2745,1325454.106,"39.8","55","56.4","56.4","57"
1035,"Alabama","Conecuh County",851719.0504,968600.8416,"37","31.5","40.6","40","37.5"
1037,"Alabama","Coosa County",904809.5675,1142654.543,"51.5","32.3","29.4","31.5","41.4"
1039,"Alabama","Covington County",904857.0021,953605.3385,"49.4","44.8","49.2","51.7","52"
1041,"Alabama","Crenshaw County",912418.1539,1008415.674,"30.6","42.7","43.4","43.1","42"
1043,"Alabama","Cullman County",834706.1576,1269855.848,"39.4","49","53.5","55.7","57.2"
1045,"Alabama","Dale County",981951.9843,982254.8233,"40.2","62.3","62.8","61.8","61.8"
1047,"Alabama","Dallas County",831746.8892,1067060.135,"45.8","44.2","43.4","44.3","42.9"
1049,"Alabama","Dekalb County",927594.6994,1316221.413,"56.5","39.4","39","39.9","43"
1051,"Alabama","Elmore County",917880.3462,1105980.039,"41","55","56.5","55.9","54.7"
1053,"Alabama","Escambia County",839009.4497,933580.2072,"43.9","43.7","45.8","44.7","40.3"
1055,"Alabama","Etowah County",911548.6958,1267867.342,"36.5","55.9","55","53.5","52.2"
1057,"Alabama","Fayette County",759213.3557,1216835.014,"33.4","39.6","38.9","37.8","45.6"
1059,"Alabama","Franklin County",742765.9875,1296358.466,"40.2","42.4","45.2","44.7","42.5"
1061,"Alabama","Geneva County",964463.038,942645.4236,"39.2","51.5","50.5","48","47.7"
1063,"Alabama","Greene County",747835.8866,1118587.797,"42.4","36.4","37.6","38.6","42"
1065,"Alabama","Hale County",778699.4525,1111106.207,"47.4","39.8","40.9","42.8","48.8"
1067,"Alabama","Henry County",1015751.445,995307.1768,"50.2","51.8","56.4","60.1","59.1"
1069,"Alabama","Houston County",1014495.139,954644.0686,"36.5","52.4","53.7","55.3","55.7"
1071,"Alabama","Jackson County",906128.3197,1349861.498,"30.4","47.4","46.4","44.8","43.7"
1073,"Alabama","Jefferson County",838191.1631,1205354.6,"27.3","64.7","65.8","66.5","66.4"
1075,"Alabama","Lamar County",725857.7,1220472.403,"19.3","41.9","46.1","46.9","50.2"
1077,"Alabama","Lauderdale County",755443.8463,1349000.612,"29.3","55.5","58","57.6","59.2"
1079,"Alabama","Lawrence County",790299.6906,1309506.198,"30.2","46.6","49.7","49.7","51.4"
1081,"Alabama","Lee County",991482.718,1114381.651,"48","64.6","65.4","66.9","68.1"
1083,"Alabama","Limestone County",817073.2449,1344348.673,"53.9","53","55.2","54.3","55.1"
1085,"Alabama","Lowndes County",876181.2191,1052196.1,"66.8","42.2","45.5","45.9","46.2"
1087,"Alabama","Macon County",962776.2814,1087058.722,"25.1","50.9","51.9","51.5","55.4"
1089,"Alabama","Madison County",856563.8724,1342883.807,"37.4","69","70.3","71","71.5"
1091,"Alabama","Marengo County",768811.3741,1052639.321,"33.7","50","55","50.1","47.5"
1093,"Alabama","Marion County",741675.3786,1261966.009,"30.1","48.7","47.4","48","50.4"
1095,"Alabama","Marshall County",883149.4316,1301065.899,"37.9","43.2","44.7","45.4","47.4"
1097,"Alabama","Mobile County",743214.0162,886353.9691,"36.4","55.9","56.7","57.5","58.2"
1099,"Alabama","Monroe County",815207.5273,981058.0214,"50.7","37.7","40.7","41.6","41.6"
1101,"Alabama","Montgomery County",916722.625,1063658.541,"32.9","60.5","61.3","61.4","61.3"
1103,"Alabama","Morgan County",832538.727,1305761.382,"22.8","55.2","53.9","53.2","52.3"
1105,"Alabama","Perry County",811039.8848,1100138.096,"32.2","40.4","36.2","35.7","32.4"
1107,"Alabama","Pickens County",731203.5468,1165053.63,"52.7","40.7","43.5","49.3","47.7"
1109,"Alabama","Pike County",946548.7153,1019904.422,"49","56.3","57.4","55.6","57.7"
1111,"Alabama","Randolph County",973285.2542,1190092.777,"50.4","43.6","40.6","43.3","46.6"
1113,"Alabama","Russell County",1011295.822,1081493.685,"36.2","53.3","56.1","59.3","60.9"
1115,"Alabama","St. Clair County",889764.201,1228541.704,"47.1","48.9","51.2","53.1","52.4"
1117,"Alabama","Shelby County",862964.3387,1175199.431,"32.3","74.1","74.5","74.4","74"
1119,"Alabama","Sumter County",727404.035,1087525.042,"76.6","50.4","49","53.3","48.8"
1121,"Alabama","Talladega County",907246.3344,1192676.758,"48.6","46.2","46.1","46.3","44.5"
1123,"Alabama","Tallapoosa County",947322.4966,1138867.713,"36.9","48.1","44.6","45.9","47.2"
1125,"Alabama","Tuscaloosa County",783090.3354,1170540.029,"41.9","61.2","61.1","61.6","62.1"
1127,"Alabama","Walker County",798892.0647,1229583.653,"44.7","50.8","51.5","51.8","53.2"
1129,"Alabama","Washington County",737348.0421,956049.341,"38.5","41.3","38.2","39","40.2"
1131,"Alabama","Wilcox County",816409.2706,1027963.482,"36.6","34.4","32.9","34","38.8"
1133,"Alabama","Winston County",788404.7509,1267513.85,"33.7","42.3","45.6","49.1","52.2"
4001,"Arizona","Apache County",-1210740.252,1455925.988,"43.9","43.2","44.9","46.2","47.5"
4003,"Arizona","Cochise County",-1290611.96,1071907.565,"72.9","62.2","63.5","64.2","65.2"
4005,"Arizona","Coconino County",-1405359.239,1537195.839,"56.7","67.3","67.7","67.8","67.9"
4007,"Arizona","Gila County",-1355993.094,1298458.724,"33.3","40.4","45.3","47.7","46.4"
4009,"Arizona","Graham County",-1286205.946,1189918.657,"21.2","51.6","50","49.2","49.2"
4011,"Arizona","Greenlee County",-1222278.216,1212493.161,"32.5","57.5","57.9","52.7","54.3"
4012,"Arizona","La Paz County",-1644757.363,1340753.453,"33","41.1","39","37.3","38.6"
4013,"Arizona","Maricopa County",-1517262.179,1274184.658,"34","62.1","63.3","63.7","63.9"
4015,"Arizona","Mohave County",-1583919.555,1553444.329,"41.3","49.4","49.1","48.3","49.5"
4017,"Arizona","Navajo County",-1284765.39,1467535.868,"29.2","51.1","50.8","49.3","50.4"
4019,"Arizona","Pima County",-1476191.451,1125771.422,"35","63.6","64.4","65.2","65.7"
4021,"Arizona","Pinal County",-1420586.8,1207586.372,"58.7","55.7","55.8","55.9","55.2"
4023,"Arizona","Santa Cruz County",-1398761.173,1048495.378,"54.9","43.4","46.1","48.3","52.8"
4025,"Arizona","Yavapai County",-1498489.345,1412798.518,"47.1","59.3","60.3","61","60.6"
4027,"Arizona","Yuma County",-1657902.488,1234156.053,"39.3","52.3","53.8","54.5","54.3"
5001,"Arkansas","Arkansas County",422335.6565,1257742.809,"41","44.3","46.8","46.2","47.6"
5003,"Arkansas","Ashley County",391924.6564,1133376.502,"29.6","43.4","45.3","46.8","51.3"
5005,"Arkansas","Baxter County",325944.8231,1477160.052,"40.4","55.5","57.2","60.4","60.7"
5007,"Arkansas","Benton County",155094.5293,1478108.344,"42.4","58.4","57.9","58.3","59.5"
5009,"Arkansas","Boone County",258755.232,1477267.159,"44.8","50","54","54.1","54.8"
5011,"Arkansas","Bradley County",354204.4236,1162472.481,"48.3","33.2","37.7","37.9","37.5"
5013,"Arkansas","Calhoun County",322441.5019,1171500.858,"36.5","36.6","37.5","45.3","45.3"
5015,"Arkansas","Carroll County",218922.7896,1479770.985,"43.1","44","44","44.6","43.9"
5017,"Arkansas","Chicot County",435421.231,1143899.148,"57.6","35.8","39.8","38.7","42"
5019,"Arkansas","Clark County",258696.4416,1224518.294,"41","56.1","58.9","58.8","57.9"
5021,"Arkansas","Clay County",496062.5084,1494564.049,"49.8","42.1","43.7","40.8","40.5"
5023,"Arkansas","Cleburne County",356975.247,1394535.948,"48.1","49.6","51.6","51.4","51.4"
5025,"Arkansas","Cleveland County",350188.7783,1210634.808,"47.2","51.3","52.7","49","50.1"
5027,"Arkansas","Columbia County",256754.7548,1130947.154,"62.3","56.6","56.5","56.5","58.2"
5029,"Arkansas","Conway County",297531.8217,1361313.732,"48.7","45.3","50.4","50.1","48.4"
5031,"Arkansas","Craighead County",480321.0855,1433405.663,"47.1","57.8","56.5","58.4","60.5"
5033,"Arkansas","Crawford County",157810.2161,1394155.534,"36.9","49.1","50.4","50.3","52"
5035,"Arkansas","Crittenden County",513412.7897,1365386.885,"37.9","49.5","51.9","51.3","48.5"
5037,"Arkansas","Cross County",471183.736,1372833.132,"33.6","35.8","38.4","36.2","37.3"
5039,"Arkansas","Dallas County",306848.4113,1216976.821,"52.6","32.5","30.7","32.9","38.1"
5041,"Arkansas","Desha County",435913.8349,1207239.844,"48.8","45.6","48.2","43.9","39.6"
5043,"Arkansas","Drew County",394404.8698,1178013.43,"40.2","54","57.3","54.7","56"
5045,"Arkansas","Faulkner County",331289.0617,1349668.8,"55.3","62.5","63.3","65.6","64.4"
5047,"Arkansas","Franklin County",189625.6278,1386218.18,"42.1","49.5","51.8","50.5","52.7"
5049,"Arkansas","Fulton County",371643.9693,1489698.908,"46.7","45.9","49.6","52.9","56.2"
5051,"Arkansas","Garland County",259314.0964,1283332.464,"50","51.9","53.4","56","56"
5053,"Arkansas","Grant County",326626.6293,1253536.526,"48.6","49.4","49.8","56.6","56"
5055,"Arkansas","Greene County",485077.6864,1465822.724,"51.2","47.9","48.1","48.8","52.1"
5057,"Arkansas","Hempstead County",214525.827,1188055.448,"47.3","45.7","49.1","50.6","48.8"
5059,"Arkansas","Hot Spring County",278873.2242,1254962.935,"54.2","48","50.4","49","48.2"
5061,"Arkansas","Howard County",183788.2959,1226838.439,"41","39.8","42.3","46.1","49.9"
5063,"Arkansas","Independence County",396986.1129,1419036.274,"26.3","47.3","49.8","49.6","51.6"
5065,"Arkansas","Izard County",364580.0196,1457251.02,"51.4","42.8","46.8","46","48.5"
5067,"Arkansas","Jackson County",429625.2692,1404670.075,"34.2","37.9","41","38.6","39"
5069,"Arkansas","Jefferson County",371628.2943,1252982.597,"54.1","49.5","51.1","52","51.1"
5071,"Arkansas","Johnson County",228180.1822,1393640.817,"44.7","39.1","39.1","38.4","38"
5073,"Arkansas","Lafayette County",221537.5884,1132961.495,"39.9","40.5","39.6","35.4","36"
